ADVANC		191.00	194.00	191.00	192.00	+1.00	+0.52	ATO	ATO	3,851,744	740,228.67
AEONTS		111.00	116.50	110.50	116.50	+6.50	+5.91	ATO	ATO	584,963	66,366.72
AMATA		12.30	12.40	12.10	12.30	-	-	ATO	11.70	5,313,457	65,262.35
AOT		56.25	57.25	56.25	56.75	-	-	ATO	ATO	9,565,050	542,021.73
AP		4.74	4.82	4.60	4.66	-0.02	-0.43	ATO	ATO	10,581,208	49,719.21
AWC		4.54	5.15	4.50	4.82	+0.34	+7.59	ATO	ATO	73,492,881	357,211.54
BANPU		6.05	6.15	6.00	6.10	+0.05	+0.83	ATO	ATO	9,530,620	57,844.70
BBL		105.00	107.50	104.00	105.00	-1.00	-0.94	ATO	ATO	3,081,598	325,590.58
BCH		13.00	13.30	12.80	12.90	-	-	13.50	12.90	2,576,536	33,642.58
BCP		18.20	18.70	17.80	18.40	-0.20	-1.08	18.40	17.50	1,744,792	31,928.69
BCPG		14.00	14.10	13.90	14.00	-	-	ATO	14.00	1,792,028	25,104.69
BDMS		20.10	20.40	20.00	20.20	-	-	ATO	ATO	11,032,158	223,249.75
BEC		3.60	3.62	3.54	3.56	-	-	ATO	3.58	1,597,399	5,705.98
BEM		8.20	8.35	8.20	8.30	+0.10	+1.22	ATO	ATO	22,585,144	186,477.22
BGC		9.20	9.40	9.15	9.25	-	-	9.25	ATO	272,300	2,521.37
BGRIM		43.00	44.25	43.00	44.00	+0.50	+1.15	ATO	ATO	6,344,337	277,421.67
BH		117.00	119.50	116.50	117.00	-0.50	-0.43	122.50	ATO	706,342	83,317.95
BJC		41.50	42.50	41.50	42.00	+0.50	+1.20	ATO	ATO	1,790,654	75,043.31
BPP	XD	13.10	13.30	13.10	13.10	-	-	ATO	ATO	863,508	11,400.81
BTS		10.00	10.30	10.00	10.00	-0.10	-0.99	ATO	ATO	14,216,156	143,638.73
CBG		69.25	70.75	69.25	70.00	+0.50	+0.72	70.00	ATO	2,090,627	145,857.57
CENTEL		17.50	17.80	16.40	16.90	-0.50	-2.87	ATO	ATO	3,849,096	65,863.59
CHG		2.34	2.34	2.30	2.30	-0.04	-1.71	ATO	ATO	3,380,850	7,843.82
CK		16.90	17.30	16.70	16.80	-0.10	-0.59	17.60	16.00	6,775,776	114,802.80
CKP		3.30	3.36	3.28	3.30	-0.02	-0.60	ATO	ATO	5,519,111	18,312.17
COM7		18.10	18.60	17.80	17.90	-0.10	-0.56	ATO	17.50	6,906,426	125,182.96
CPALL		63.50	64.00	63.25	63.75	+0.50	+0.79	ATO	ATO	7,774,346	494,273.02
CPF		25.00	25.25	24.60	24.80	-0.70	-2.75	ATO	ATO	35,781,393	888,772.27
CPN		44.00	47.25	44.00	46.75	+2.75	+6.25	ATO	ATO	4,723,092	214,047.64
CRC		32.00	34.25	31.50	34.25	+2.50	+7.87	ATO	ATO	28,818,231	955,331.13
DELTA		38.00	39.00	37.50	38.00	+0.50	+1.33	37.75	ATO	399,303	15,286.22
DTAC		38.75	41.00	38.75	40.25	+1.50	+3.87	40.25	ATO	5,685,572	228,976.44
EA		36.50	36.75	36.00	36.25	-0.25	-0.68	38.00	ATO	3,122,207	113,366.56
EGCO		249.00	254.00	249.00	253.00	+2.00	+0.80	ATO	253.00	231,522	58,287.36
EPG		4.08	4.14	3.98	4.00	-	-	ATO	ATO	1,088,812	4,403.91
ERW		3.00	3.02	2.88	2.92	-0.04	-1.35	3.06	ATO	9,541,327	27,882.38
ESSO		4.86	4.98	4.84	4.90	-0.02	-0.41	ATO	ATO	13,547,147	66,747.40
GFPT		9.40	9.60	9.40	9.50	-	-	9.50	9.55	932,409	8,836.97
GLOBAL		11.30	11.60	11.20	11.60	+0.20	+1.75	ATO	ATO	2,149,956	24,512.35
GPSC		65.75	67.50	65.75	67.25	+1.25	+1.89	ATO	ATO	9,048,543	602,937.18
