ADVANC		191.00	194.00	191.00	192.50	+1.50	+0.79	192.00	192.50	6,680,884	1,283,702.38
AOT		56.25	57.25	56.25	57.25	+0.50	+0.88	57.00	57.25	24,021,498	1,361,073.29
AWC		4.54	5.15	4.50	4.72	+0.24	+5.36	4.72	4.74	127,572,718	612,601.31
BANPU		6.05	6.15	6.00	6.10	+0.05	+0.83	6.10	6.15	21,234,857	129,202.19
BBL		105.00	107.50	104.00	106.50	+0.50	+0.47	106.00	106.50	5,564,482	588,357.02
BDMS		20.10	20.40	20.00	20.30	+0.10	+0.50	20.20	20.30	20,443,804	413,613.24
BEM		8.20	8.45	8.20	8.45	+0.25	+3.05	8.40	8.45	57,614,745	479,329.89
BGRIM		43.00	44.75	43.00	44.75	+1.25	+2.87	44.75	45.00	14,434,433	635,409.02
BH		117.00	119.50	116.00	117.00	-0.50	-0.43	116.50	117.00	1,318,795	154,769.26
BJC		41.50	42.50	41.50	42.50	+1.00	+2.41	42.25	42.50	4,527,367	190,392.04
BTS		10.00	10.30	9.95	10.30	+0.20	+1.98	10.20	10.30	39,865,589	403,761.21
CBG		69.25	70.75	69.25	70.00	+0.50	+0.72	69.75	70.00	2,935,384	204,954.58
CPALL		63.50	64.25	63.25	64.25	+1.00	+1.58	64.00	64.25	16,384,009	1,044,717.99
CPF		25.00	25.25	24.60	24.90	-0.60	-2.35	24.80	24.90	66,816,847	1,660,073.92
CPN		44.00	49.00	44.00	48.50	+4.50	+10.23	48.25	48.50	14,329,609	670,624.11
CRC		32.00	34.50	31.50	34.00	+2.25	+7.09	34.00	34.25	47,621,408	1,593,769.45
DELTA		38.00	39.00	37.50	38.00	+0.50	+1.33	37.75	38.00	763,203	29,089.02
DTAC		38.75	41.00	38.75	40.25	+1.50	+3.87	40.00	40.25	8,176,996	329,254.43
EA		36.50	36.75	35.75	36.50	-	-	36.25	36.50	5,838,288	212,033.37
EGCO		249.00	258.00	249.00	257.00	+6.00	+2.39	257.00	258.00	720,317	183,155.06
GLOBAL		11.30	11.90	11.20	11.90	+0.50	+4.39	11.80	11.90	5,212,790	60,429.93
GPSC		65.75	68.50	65.75	68.25	+2.25	+3.41	68.00	68.25	22,120,235	1,489,220.16
GULF		170.00	179.50	169.50	178.50	+8.50	+5.00	178.00	178.50	21,192,659	3,715,227.26
HMPRO		12.20	12.60	12.20	12.60	+0.30	+2.44	12.50	12.60	14,889,401	184,714.92
INTUCH		46.75	47.75	46.75	47.75	+1.00	+2.14	47.50	47.75	17,108,066	809,689.08
IRPC		2.42	2.50	2.40	2.44	-0.02	-0.81	2.44	2.46	74,223,237	181,564.99
IVL		24.60	25.25	24.40	24.80	+0.30	+1.22	24.80	24.90	20,083,707	498,910.77
KBANK	XD	97.00	97.00	93.50	95.00	-2.50	-2.56	94.75	95.00	7,508,792	713,764.36
KTB		11.10	11.20	10.60	10.80	-0.30	-2.70	10.80	10.90	46,670,973	503,469.22
KTC		30.00	32.25	30.00	32.25	+2.75	+9.32	32.00	32.25	22,985,885	720,064.90
LH		7.15	7.35	7.05	7.20	-0.05	-0.69	7.20	7.25	46,790,387	335,992.22
MINT		18.60	19.00	18.30	19.00	+0.40	+2.15	18.90	19.00	35,486,465	663,322.33
MTC		39.50	44.75	39.50	44.50	+5.25	+13.38	44.25	44.50	26,436,616	1,110,177.71
OSP		37.75	38.50	37.50	38.00	-	-	37.75	38.00	8,130,044	308,017.52
PTT		35.00	36.25	34.50	36.00	+0.25	+0.70	35.75	36.00	79,983,769	2,828,123.90
PTTEP		77.75	81.00	77.50	79.75	-	-	79.75	80.00	23,542,726	1,866,733.17
PTTGC		34.50	35.25	34.00	34.75	-	-	34.75	35.00	22,181,748	768,918.17
RATCH		60.00	61.25	60.00	61.25	+1.25	+2.08	61.25	61.50	4,371,675	265,972.87
SAWAD		48.25	52.50	48.25	51.75	+4.25	+8.95	51.50	51.75	27,084,405	1,358,624.02
SCB	XD	73.00	73.00	69.25	70.25	-3.25	-4.42	70.25	70.50	16,519,161	1,169,806.83
SCC	XD	319.00	324.00	319.00	324.00	+4.00	+1.25	323.00	324.00	1,139,526	366,667.32
TCAP		37.50	37.75	36.25	37.00	+0.25	+0.68	37.00	37.25	8,845,620	326,646.43
TISCO		77.25	78.50	75.00	76.75	-0.50	-0.65	76.75	77.00	14,874,355	1,140,323.48
TMB		0.88	0.89	0.85	0.88	-	-	0.87	0.88	232,557,037	202,284.49
TOA		33.75	34.25	32.75	33.50	-	-	33.50	33.75	1,216,107	40,594.41
TOP		34.50	35.25	33.50	34.75	-0.75	-2.11	34.50	34.75	41,684,922	1,434,954.34
TRUE		3.24	3.42	3.20	3.34	+0.12	+3.73	3.34	3.36	474,185,357	1,582,074.61
TU		13.00	13.10	12.90	13.10	+0.20	+1.55	13.00	13.10	8,170,796	106,471.90
VGI		6.50	6.60	6.35	6.50	+0.15	+2.36	6.45	6.50	13,188,273	84,986.38
WHA		2.44	2.62	2.44	2.60	+0.16	+6.56	2.60	2.62	129,816,998	329,393.46
